Country,Energy Supply,Energy Supply per Capita,% Renewable
Afghanistan,321 000 000,  10, 78.67
Albania,102 000 000,  35, 100.00
Algeria,1959 000 000,  51, 0.55
American Samoa,0,0, 0.64
Andorra,9 000 000,  121, 88.70
Angola,642 000 000,  27, 70.91
Anguilla,2 000 000,  136, 0.00
Antigua and Barbuda,8 000 000,  84, 0.00
Argentina,3378 000 000,  79, 24.06
Armenia,143 000 000,  48, 28.24
Aruba,12 000 000,  120, 14.87
Australia,5386 000 000,  231, 11.81
Austria,1391 000 000,  164, 72.45
Azerbaijan,567 000 000,  60, 6.38
Bahamas,45 000 000,  118, 0.00
Bahrain,574 000 000,  425, 0.00
Bangladesh,1625 000 000,  10, 1.97
Barbados,19 000 000,  69, 0.00
Belarus,1142 000 000,  120, 0.46
Belgium,2338 000 000,  210, 9.96
Belize,13 000 000,  39, 64.69
Benin,170 000 000,  16, 0.00
Bermuda,6 000 000,  88, 0.00
Bhutan,63 000 000,  83, 100.00
Bolivia,336 000 000,  32, 31.48
"Bonaire, Sint Eustatius and Saba",5 000 000,  213, 0.00
Bosnia and Herzegovina,266 000 000,  70, 41.46
Botswana,86 000 000,  39, 0.13
Brazil,12149 000 000,  59, 69.65
British Virgin Islands,2 000 000,  85, 0.00
Brunei Darussalam,127 000 000,  310, 0.05
Bulgaria,703 000 000,  97, 17.23
Burkina Faso,164 000 000,  10, 14.50
Burundi,58 000 000,  6, 86.79
Cabo Verde,7 000 000,  15, 21.23
Cambodia,250 000 000,  17, 57.31
Cameroon,307 000 000,  14, 70.89
Canada,10431 000 000,  296, 61.95
Cayman Islands,8 000 000,  131, 0.00
Central African Republic,23 000 000,  5, 85.64
Chad,77 000 000,  6, 0.00
Chile,1613 000 000,  92, 28.01
China,127191 000 000,  93, 19.75
Hong Kong,585 000 000,  82, 0.00
"China, Macao Special Administrative Region4",47 000 000,  83, 0.00
Colombia,1513 000 000,32, 63.00
Comoros,5 000 000,  7, 11.63
Congo,102 000 000,  23, 57.75
Cook Islands,1 000 000,  48, 0.00
Costa Rica,222 000 000,  47, 88.74
Côte d'Ivoire,547 000 000,  25, 22.82
Croatia,321 000 000,  75, 64.28
Cuba,585 000 000,  51, 0.66
Curaçao,78 000 000,  502, 0.00
Cyprus,82 000 000,  71, 6.48
Czech Republic,1751 000 000,  166, 7.07
Democratic People's Republic of Korea,612 000 000,  25, 70.18
Democratic Republic of the Congo,888 000 000,  12, 99.59
Denmark,725 000 000,  129, 33.54
Djibouti,11 000 000,  13, 0.00
Dominica,2 000 000,  28, 36.63
Dominican Republic,339 000 000,  33, 11.25
Ecuador,680 000 000,  43, 47.71
Egypt,3422 000 000,  39, 8.81
El Salvador,176 000 000,  29, 56.45
Equatorial Guinea,73 000 000,  91, 6.36
Eritrea,34 000 000,  7, 0.55
Estonia,258 000 000,  195, 4.18
Ethiopia,1394 000 000,  15, 99.91
Faeroe Islands,9 000 000,  179, 38.57
Falkland Islands (Malvinas),1 000 000,  258, 33.33
Fiji,31 000 000,  36, 62.00
Finland,1374 000 000,  252, 19.54
France,10597 000 000,  166, 17.02
French Guiana,13 000 000,  52, 62.00
French Polynesia,12 000 000,  44, 26.86
Gabon,99 000 000,  60, 37.50
Gambia,14 000 000,  7, 0.00
Georgia,163 000 000,  40, 82.22
Germany,13261 000 000,  165, 17.90
Ghana,316 000 000,  12, 63.10
Gibraltar,8 000 000,  245, 0.00
Greece,993 000 000,  90, 24.80
Greenland,9 000 000,  166, 78.13
Grenada,5 000 000,  43, 0.00
Guadeloupe,33 000 000,  70, 14.81
Guam,0,0, 0.00
Guatemala,452 000 000,  29, 49.52
Guernsey,  0,  6, 0.00
Guinea,145 000 000,  12, 48.44
Guinea-Bissau,29 000 000,  17, 0.00
Guyana,34 000 000,  45, 0.00
Haiti,172 000 000,  16, 12.76
Honduras,217 000 000,  28, 37.76
Hungary,947 000 000,  95, 3.26
Iceland,312 000 000,957, 99.97
India,33195 000 000,  26, 14.97
Indonesia8,8754 000 000,  35, 12.19
Iran,9172 000 000,  119, 5.71
Iraq,2077 000 000,  61, 7.87
Ireland,548 000 000,  117, 20.92
Isle of Man,  0,  4, 0.79
Israel,997 000 000,  128, 0.87
Italy,6530 000 000,  109, 33.67
Jamaica,108 000 000,  39, 5.62
Japan,18984 000 000,  149, 10.23
Jersey,3 000 000,  34, 0.00
Jordan,325 000 000,  45, 0.34
Kazakhstan,3548 000 000,  208, 8.11
Kenya,873 000 000,  20, 73.76
Kiribati,1 000 000,  8, 0.00
Kuwait,1475 000 000,  410, 0.00
Kyrgyzstan,167 000 000,  29, 93.48
Lao People's Democratic Republic,85 000 000,  13, 93.29
Latvia,183 000 000,  91, 48.83
Lebanon,289 000 000,  55, 6.61
Lesotho,48 000 000,  23, 100.00
Liberia,83 000 000,  19, 0.00
Libya,707 000 000,  113, 0.00
Liechtenstein,3 000 000,  79, 96.47
Lithuania,282 000 000,  95, 41.03
Luxembourg,168 000 000,  307, 45.53
Madagascar,166 000 000,  7, 50.82
Malawi,101 000 000,  6, 89.14
Malaysia,3417 000 000,  116, 7.75
Maldives,15 000 000,  43, 0.00
Mali,66 000 000,  4, 64.77
Malta,31 000 000,  75, 1.42
Marshall Islands,1 000 000,  28, 0.00
Martinique,33 000 000,  84, 2.61
Mauritania,51 000 000,  13, 0.00
Mauritius,58 000 000,  46, 3.53
Mexico,7944 000 000,  64, 12.91
Micronesia (Federated States of),2 000 000,  21, 2.94
Mongolia,475 000 000,  166, 0.00
Montenegro,42 000 000,  67, 65.58
Montserrat,1 000 000,  153, 0.00
Morocco,796 000 000,  23, 15.89
Mozambique,469 000 000,  18, 94.63
Myanmar,682 000 000,  13, 72.04
Namibia,63 000 000,  27, 95.79
Nauru,1 000 000,  60, 0.00
Nepal,458 000 000,  16, 99.68
Netherlands,3199 000 000,  190, 6.32
New Caledonia,51 000 000,  200, 20.43
New Zealand,876 000 000,  196, 72.87
Nicaragua,149 000 000,  25, 40.76
Niger,87 000 000,  5, 0.00
Nigeria,5589 000 000,  32, 18.39
Niue,  0,  65, 0.00
Northern Mariana Islands,0,0, 0.00
Norway,1388 000 000,  273, 97.64
Oman,1015 000 000,  260, 0.00
Pakistan,2868 000 000,  16, 31.88
Palau,3 000 000,  152, 18.75
Panama,158 000 000,  42, 57.51
Papua New Guinea,144 000 000,  20, 23.95
Paraguay,228 000 000,  35, 100.00
Peru,858 000 000,  28, 51.97
Philippines,1781 000 000,  18, 26.17
Poland,4121 000 000,  107, 5.54
Portugal,899 000 000,  86, 53.34
Puerto Rico,56 000 000,  15, 1.08
Qatar,1396 000 000,  664, 0.00
South Korea,11007 000 000,  221, 2.28
Republic of Moldova,93 000 000,  23, 5.08
Réunion,59 000 000,  70, 28.30
Romania,1339 000 000,  68, 34.38
Russian Federation,30709 000 000,  214, 17.29
Rwanda,95 000 000,  9, 35.84
Saint Helena,  0,  40, 9.09
Saint Kitts and Nevis,4 000 000,  73, 0.00
Saint Lucia,6 000 000,  33, 0.00
Saint Pierre and Miquelon,1 000 000,  162, 2.13
Saint Vincent and the Grenadines,3 000 000,28, 16.67
Samoa,4 000 000,  22, 31.36
Sao Tome and Principe,3 000 000,  14, 10.45
Saudi Arabia,7985 000 000,  264, 0.00
Senegal,154 000 000,  11, 2.00
Serbia,618 000 000,  69, 27.22
Seychelles,9 000 000,  94, 1.98
Sierra Leone,67 000 000,  11, 64.02
Singapore,1120 000 000,  207, 0.00
Sint Maarten (Dutch part),12 000 000,  327, 0.00
Slovakia,711 000 000,  131, 20.22
Slovenia,287 000 000,  139, 31.86
Solomon Islands,6 000 000,  11, 0.00
Somalia,126 000 000,  12, 0.00
South Africa,6341 000 000,  119, 1.69
South Sudan,28 000 000,  2, 0.42
Spain,4923 000 000,  106, 37.97
Sri Lanka,388 000 000,  19, 59.57
State of Palestine,61 000 000,  14, 0.00
Sudan,608 000 000,  16, 78.41
Suriname,34 000 000,  65, 22.02
Swaziland,49 000 000,  39, 40.68
Sweden,2044 000 000,  212, 46.60
Switzerland,1113 000 000,  136, 57.75
Syrian Arab Republic,542 000 000,  28, 11.57
Tajikistan,106 000 000,  13, 99.74
Thailand,5336 000 000,  79, 4.31
The former Yugoslav Republic of Macedonia,117 000 000,  56, 26.14
Timor-Leste,7 000 000,  6, 0.00
Togo,134 000 000,  19, 80.18
Tonga,3 000 000,  28, 0.00
Trinidad and Tobago,824 000 000,  611, 0.00
Tunisia,430 000 000,  39, 3.49
Turkey,4897 000 000,  64, 28.54
Turkmenistan,1102 000 000,  210, 0.00
Turks and Caicos Islands,3 000 000,  85, 0.00
Tuvalu,0,0, 0.00
Uganda,452 000 000,  12, 68.02
Ukraine,4844 000 000,  107, 8.07
United Arab Emirates,2710 000 000,  300, 0.00
United Kingdom,7920 000 000,  124, 10.60
United Republic of Tanzania,994 000 000,  20, 31.07
United States,90838 000 000,  286, 11.57
United States Virgin Islands,0,0, 0.00
Uruguay,196 000 000,  58, 71.61
Uzbekistan,1798 000 000,  62, 21.33
Vanuatu,3 000 000,  10, 14.71
Venezuela (Bolivarian Republic of),2871 000 000,  95, 67.83
Viet Nam,2554 000 000,  28, 45.32
Wallis and Futuna Islands,  0,  26, 0.00
Yemen,344 000 000,  13, 0.00
Zambia,400 000 000,  26, 99.71
Zimbabwe,480 000 000,  32, 52.54
